gesl,bin,variable,N
Marie,13,Status quo,14631
Marie,25,Status quo,3448
Marie,14,Status quo,13770
Marie,10,Status quo,15422
Marie,19,Status quo,7629
Marie,12,Status quo,15063
Marie,8,Status quo,13754
Marie,11,Status quo,15245
Marie,9,Status quo,14621
Marie,7,Status quo,12477
Marie,23,Status quo,4445
Marie,16,Status quo,11464
Marie,17,Status quo,10485
Marie,6,Status quo,11081
Marie,18,Status quo,8988
Marie,21,Status quo,5782
Marie,20,Status quo,6707
Marie,5,Status quo,8713
Marie,30,Status quo,1291
Marie,4,Status quo,5403
Marie,15,Status quo,12835
Marie,26,Status quo,2912
Marie,22,Status quo,4979
Marie,3,Status quo,2567
Marie,24,Status quo,3852
Marie,31,Status quo,957
Otto,29,Status quo,6891
Marie,32,Status quo,672
Marie,29,Status quo,1610
Marie,2,Status quo,775
Marie,27,Status quo,2498
Marie,35,Status quo,123
Marie,28,Status quo,1997
Otto,24,Status quo,9728
Otto,33,Status quo,5219
Otto,35,Status quo,3567
Otto,28,Status quo,7140
Otto,34,Status quo,4494
Otto,37,Status quo,1757
Otto,26,Status quo,8423
Otto,25,Status quo,9034
Otto,22,Status quo,9853
Otto,16,Status quo,4205
Otto,8,Status quo,2170
Otto,21,Status quo,9371
Otto,20,Status quo,8534
Otto,14,Status quo,3548
Otto,31,Status quo,6171
Otto,9,Status quo,2464
Otto,23,Status quo,9862
Otto,5,Status quo,1191
Otto,18,Status quo,6131
Otto,27,Status quo,7740
Otto,12,Status quo,3104
Otto,32,Status quo,6021
Otto,19,Status quo,7172
Otto,36,Status quo,2723
Otto,17,Status quo,5047
Otto,41,Status quo,80
Otto,30,Status quo,6485
Otto,11,Status quo,2956
Otto,15,Status quo,3617
Otto,10,Status quo,2718
Otto,13,Status quo,3266
Otto,6,Status quo,1551
Otto,38,Status quo,1112
Otto,7,Status quo,1879
Otto,39,Status quo,548
Otto,40,Status quo,269
Marie,34,Status quo,231
Marie,33,Status quo,451
Otto,3,Status quo,502
Otto,4,Status quo,825
Marie,1,Status quo,103
Marie,36,Status quo,47
Otto,2,Status quo,221
Marie,37,Status quo,18
Marie,38,Status quo,10
Otto,42,Status quo,35
Otto,43,Status quo,5
Marie,39,Status quo,4
Marie,41,Status quo,3
Otto,1,Status quo,45
Otto,46,Status quo,1
Otto,44,Status quo,1
Marie,40,Status quo,1
Marie,14,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",15004
