gesl,D,variable,N,val,value
Frauen,1. Dezil,"Szenario 1
(Kindererziehung)",2371,Szenario,10.7400054931641
Frauen,1. Dezil,"Szenario 2
(Arbeitslosigkeit)",2371,Szenario,10.7400054931641
Frauen,1. Dezil,"Szenario 3
(GPG/Männer)",2371,Szenario,21.235767364502
Frauen,1. Dezil,"Szenario 4
(GPG/Frau)",2371,Szenario,308.422637939453
Frauen,1. Dezil,"Szenario 5
(Beste 15 Jahre)",2371,Szenario,11.3563776016235
Frauen,2. Dezil,"Szenario 1
(Kindererziehung)",2371,Szenario,268.074066162109
Frauen,2. Dezil,"Szenario 2
(Arbeitslosigkeit)",2371,Szenario,268.074066162109
Frauen,2. Dezil,"Szenario 3
(GPG/Männer)",2371,Szenario,280.948516845703
Frauen,2. Dezil,"Szenario 4
(GPG/Frau)",2371,Szenario,325.688934326172
Frauen,2. Dezil,"Szenario 5
(Beste 15 Jahre)",2371,Szenario,160.177703857422
Frauen,3. Dezil,"Szenario 1
(Kindererziehung)",2370,Szenario,331.808074951172
Frauen,3. Dezil,"Szenario 2
(Arbeitslosigkeit)",2370,Szenario,331.810882568359
Frauen,3. Dezil,"Szenario 3
(GPG/Männer)",2370,Szenario,342.483093261719
Frauen,3. Dezil,"Szenario 4
(GPG/Frau)",2370,Szenario,352.954742431641
Frauen,3. Dezil,"Szenario 5
(Beste 15 Jahre)",2370,Szenario,195.522613525391
Frauen,4. Dezil,"Szenario 1
(Kindererziehung)",2371,Szenario,374.5673828125
Frauen,4. Dezil,"Szenario 2
(Arbeitslosigkeit)",2371,Szenario,374.620086669922
Frauen,4. Dezil,"Szenario 3
(GPG/Männer)",2371,Szenario,381.320220947266
Frauen,4. Dezil,"Szenario 4
(GPG/Frau)",2371,Szenario,386.105285644531
Frauen,4. Dezil,"Szenario 5
(Beste 15 Jahre)",2371,Szenario,223.33137512207
Frauen,5. Dezil,"Szenario 1
(Kindererziehung)",2371,Szenario,409.772064208984
Frauen,5. Dezil,"Szenario 2
(Arbeitslosigkeit)",2371,Szenario,409.828277587891
Frauen,5. Dezil,"Szenario 3
(GPG/Männer)",2371,Szenario,410.960693359375
Frauen,5. Dezil,"Szenario 4
(GPG/Frau)",2371,Szenario,410.996856689453
Frauen,5. Dezil,"Szenario 5
(Beste 15 Jahre)",2371,Szenario,238.035140991211
Frauen,6. Dezil,"Szenario 1
(Kindererziehung)",2370,Szenario,440.291046142578
Frauen,6. Dezil,"Szenario 2
(Arbeitslosigkeit)",2370,Szenario,440.291046142578
Frauen,6. Dezil,"Szenario 3
(GPG/Männer)",2370,Szenario,440.8310546875
Frauen,6. Dezil,"Szenario 4
(GPG/Frau)",2370,Szenario,440.8310546875
Frauen,6. Dezil,"Szenario 5
(Beste 15 Jahre)",2370,Szenario,263.470611572266
Frauen,7. Dezil,"Szenario 1
(Kindererziehung)",2371,Szenario,466.578918457031
Frauen,7. Dezil,"Szenario 2
(Arbeitslosigkeit)",2371,Szenario,466.592193603516
Frauen,7. Dezil,"Szenario 3
(GPG/Männer)",2371,Szenario,468.594879150391
Frauen,7. Dezil,"Szenario 4
(GPG/Frau)",2371,Szenario,470.30908203125
Frauen,7. Dezil,"Szenario 5
(Beste 15 Jahre)",2371,Szenario,276.724884033203
Frauen,8. Dezil,"Szenario 1
(Kindererziehung)",2371,Szenario,490.937438964844
Frauen,8. Dezil,"Szenario 2
(Arbeitslosigkeit)",2371,Szenario,490.949462890625
Frauen,8. Dezil,"Szenario 3
(GPG/Männer)",2371,Szenario,493.971740722656
Frauen,8. Dezil,"Szenario 4
(GPG/Frau)",2371,Szenario,495.248870849609
